Samsung|Galaxy A20 SM-A205G Dual-SIM 32GB Smartphone (Unlocked, Deep Blue)|159.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 13MP Wide f/1.9 Camera', 'Rear 5MP Ultrawide f/2.2 Camera', 'Front 8MP f/2.0 Selfie Camera', 'Samsung Exynos 7884 Octa-Core CPU', '32GB Storage Capacity + 3GB of RAM', '6.4" 1560 x 720 sAMOLED Display', 'Curved Frame with Rear Comfort Grip', 'Android 9.0 Pie']
Google|Pixel 3a Smartphone (Unlocked, Just Black)|399.00|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM+CDMA / 4G LTE Compatible', 'North American Variant', '12.2MP Rear Dual-Pixel Camera', '8MP Front-Facing Camera', 'Night Sight + 4K Video Capture', '5.6" 2220 x 1080 OLED Display', '2.0/1.7 GHz Snapdragon 670 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', 'Titan M Security Chip', 'Android 9.0 Pie']
Samsung|Galaxy A20 SM-A205G Dual-SIM 32GB Smartphone (Unlocked, Black)|159.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 13MP Wide f/1.9 Camera', 'Rear 5MP Ultrawide f/2.2 Camera', 'Front 8MP f/2.0 Selfie Camera', 'Samsung Exynos 7884 Octa-Core CPU', '32GB Storage Capacity + 3GB of RAM', '6.4" 1560 x 720 sAMOLED Display', 'Curved Frame with Rear Comfort Grip', 'Android 9.0 Pie']
Samsung|Galaxy A50 SM-A505G Dual-SIM 64GB Smartphone (Unlocked, Black)|269.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 25MP f/1.7 PDAF Camera', 'Rear 8MP f/2.2 Ultrawide Camera', 'Rear 5MP f/2.2 Depth Sensor', 'Front 25MP f/2.0 Selfie Camera', '2.3/1.6 GHz Exynos 9610 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '6.4" 2340 x 1080 Super AMOLED Display', '64GB microSD Card Included']
Samsung|Galaxy A70 SM-A705 Dual-SIM 128GB Smartphone (Unlocked, Black)|359.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 32MP, 8MP, and 5MP Cameras', 'Front 32MP Selfie Camera', '2.0/1.7 GHz Snapdragon 675 Octa-Core CPU', '128GB Storage Capacity + 6GB of RAM', '6.7" 2400 x 1080 Super AMOLED Display', 'On-Screen Fingerprint Reader', '4500mAh Battery with Fast Charging', 'Android 9.0 Pie']
LG|G8 ThinQ 128GB Smartphone (Unlocked, Black)|579.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM+CDMA / 4G LTE Wireless Connectivity', 'North American Variant', 'Rear 16MP Super Ultra-Wide Camera', 'Rear 12MP Standard Camera', 'Front 8MB Standard Camera', 'Snapdragon 855 Octa-Core CPU', '128GB Storage Capacity + 6GB of RAM', '6.1" 3120 x 1440 QHD+ OLED Display', 'Hand ID Vein-Recognition Security', 'Android 9.0 Pie']
Samsung|Galaxy A50 SM-A505G Dual-SIM 64GB Smartphone (Unlocked, White)|269.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 25MP f/1.7 PDAF Camera', 'Rear 8MP f/2.2 Ultrawide Camera', 'Rear 5MP f/2.2 Depth Sensor', 'Front 25MP f/2.0 Selfie Camera', '2.3/1.6 GHz Exynos 9610 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '6.4" 2340 x 1080 Super AMOLED Display', '64GB microSD Card Included']
Google|Pixel 3a Smartphone (Unlocked, Purple-ish)|399.00|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM+CDMA / 4G LTE Compatible', 'North American Variant', '12.2MP Rear Dual-Pixel Camera', '8MP Front-Facing Camera', 'Night Sight + 4K Video Capture', '5.6" 2220 x 1080 OLED Display', '2.0/1.7 GHz Snapdragon 670 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', 'Titan M Security Chip', 'Android 9.0 Pie']
Samsung|Galaxy A20 SM-A205G Dual-SIM 32GB Smartphone (Unlocked, Red)|159.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 13MP Wide f/1.9 Camera', 'Rear 5MP Ultrawide f/2.2 Camera', 'Front 8MP f/2.0 Selfie Camera', 'Samsung Exynos 7884 Octa-Core CPU', '32GB Storage Capacity + 3GB of RAM', '6.4" 1560 x 720 sAMOLED Display', 'Curved Frame with Rear Comfort Grip', 'Android 9.0 Pie']
Google|Pixel 3 64GB Smartphone (Unlocked, Just Black)|475.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM+CDMA / 4G LTE Compatible', 'North American Variant', 'Rear 12.2MP Dual-Pixel Camera', 'Optical + Electronic Image Stabilization', 'Dual 8MP Front-Facing Cameras', 'Wide-Angle Lens for Group Selfies', '2.5/1.6 GHz Snapdragon 845 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '5.5" 2160 x 1080 FHD+ OLED Display', 'Android 9.0 Pie']
Samsung|Galaxy A10 A105M Duos Dual-SIM 32GB Smartphone (Unlocked, Black)|134.00|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Wireless Connectivity', 'Latin America Variant/US Compatible LTE', '6.2" Infinity-V Touchscreen Display', '1520 x 720 Resolution', '13MP Rear Camera + 5MP Front Camera', 'f/1.9 28mm Wide Auto Focus Lens', 'Exynos 7884 Octa-Core CPU', '32GB Storage Capacity + 2GB of RAM', 'Dual Nano SIMs', 'Android 9.0 Pie']
Google|Pixel 3a Smartphone (Unlocked, Clearly White)|399.00|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM+CDMA / 4G LTE Compatible', 'North American Variant', '12.2MP Rear Dual-Pixel Camera', '8MP Front-Facing Camera', 'Night Sight + 4K Video Capture', '5.6" 2220 x 1080 OLED Display', '2.0/1.7 GHz Snapdragon 670 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', 'Titan M Security Chip', 'Android 9.0 Pie']
Samsung|Galaxy A30 SM-A305G Dual-SIM 32GB Smartphone (Unlocked, Black)|199.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 16MP f/1.7 PDAF Camera', 'Rear 5MP f/2.2 Ultrawide Camera', 'Front 16MP f/2.0 Selfie Camera', '1.8/1.6 Exynos 7904 Octa-Core CPU', '32GB Storage Capacity + 3GB of RAM', '6.4" 2340 x 1080 Super AMOLED Display', 'Android 9.0 Pie with Samsung One UI']
Moto|e5 Play 16GB Smartphone (Unlocked, Black)|129.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'North American Variant', 'Rear 8MP Camera with LED Flash', 'f/2.0 Aperture and 1.12μm Pixels', 'Front-Facing 5MP Camera with Flash', '1.4 GHz Snapdragon Quad-Core CPU', '16GB Storage Capacity + 2GB of RAM', '5.2" 1280 x 720 LCD Display', 'microSDXC Memory Card Slot', 'Android 8.0 Oreo']
Samsung|Galaxy A70 SM-A705 Dual-SIM 128GB Smartphone (Unlocked, Blue)|359.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 32MP, 8MP, and 5MP Cameras', 'Front 32MP Selfie Camera', '2.0/1.7 GHz Snapdragon 675 Octa-Core CPU', '128GB Storage Capacity + 6GB of RAM', '6.7" 2400 x 1080 Super AMOLED Display', 'On-Screen Fingerprint Reader', '4500mAh Battery with Fast Charging', 'Android 9.0 Pie']
Samsung|Galaxy A50 SM-A505G Dual-SIM 64GB Smartphone (Unlocked, Blue)|269.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 25MP f/1.7 PDAF Camera', 'Rear 8MP f/2.2 Ultrawide Camera', 'Rear 5MP f/2.2 Depth Sensor', 'Front 25MP f/2.0 Selfie Camera', '2.3/1.6 GHz Exynos 9610 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '6.4" 2340 x 1080 Super AMOLED Display', '64GB microSD Card Included']
Samsung|Galaxy S10e SM-G970F Dual SIM 128GB Smartphone (Unlocked, Black)|549.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM / 4G LTE Wireless Connectivity', 'Latin America Variant/US Compatible LTE', '16MP/12MP Rear Dual-Camera Array', 'Ultra-Wide / Wide Cameras', '10MP Wide-Angle 4K UHD Selfie Camera', 'Samsung Exynos 9820 Octa-Core CPU', '128GB Storage Capacity + 6GB of RAM', '5.8" Dynamic AMOLED Display', 'PowerShare Wireless Charging', 'Android 9.0 Pie + One UI']
ZTE|Axon 10 Pro Dual-SIM 256GB Smartphone (Unlocked, 12GB RAM)|599.98|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'North American Variant', 'Snapdragon 855 Octa-Core CPU', '6.47" 2340 x 1080 AMOLED Display', 'Rear: 48MP / 20MP / 8MP', 'Front: 20MP with AI Portrait Mode', '3x Optical Zoom + Up to 10x Digital Zoom', '256GB Storage Capacity + 12GB of RAM', 'Dual Speakers + DTS:X Ultra', 'Android 9.0 Pie']
LG|G8 ThinQ 128GB Smartphone (Unlocked, Gray)|569.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM+CDMA / 4G LTE Wireless Connectivity', 'North American Variant', 'Rear 16MP Super Ultra-Wide Camera', 'Rear 12MP Standard Camera', 'Front 8MB Standard Camera', 'Snapdragon 855 Octa-Core CPU', '128GB Storage Capacity + 6GB of RAM', '6.1" 3120 x 1440 QHD+ OLED Display', 'Hand ID Vein-Recognition Security', 'Android 9.0 Pie']
Samsung|Galaxy A70 SM-A705 Dual-SIM 128GB Smartphone (Unlocked, White)|359.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 32MP, 8MP, and 5MP Cameras', 'Front 32MP Selfie Camera', '2.0/1.7 GHz Snapdragon 675 Octa-Core CPU', '128GB Storage Capacity + 6GB of RAM', '6.7" 2400 x 1080 Super AMOLED Display', 'On-Screen Fingerprint Reader', '4500mAh Battery with Fast Charging', 'Android 9.0 Pie']
Samsung|Galaxy A10 A105M Duos Dual-SIM 32GB Smartphone (Unlocked, Blue)|134.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Wireless Connectivity', 'Latin America Variant/US Compatible LTE', '6.2" Infinity-V Touchscreen Display', '1520 x 720 Resolution', '13MP Rear Camera + 5MP Front Camera', 'f/1.9 28mm Wide Auto Focus Lens', 'Exynos 7884 Octa-Core CPU', '32GB Storage Capacity + 2GB of RAM', 'Dual Nano SIMs', 'Android 9.0 Pie']
BLU|G9 Dual-SIM 64GB Smartphone (Unlocked, Black)|159.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'North American Variant', 'Dual 13MP/2MP Rear Cameras', 'Front 13MP Selfie Camera', '52MP Super Zoom + Night Mode', '2.0 GHz MediaTek Helio P22 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '6.3" 1520 x 720 IPS LCD Display', 'Encrypted Rear Fingerprint Sensor', 'Android 9.0 Pie']
Google|Pixel 3a XL Smartphone (Unlocked, Just Black)|474.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM+CDMA / 4G LTE Compatible', 'North American Variant', '12.2MP Rear Dual-Pixel Camera', '8MP Front-Facing Camera', 'Night Sight + 4K Video Capture', '6.0" 2160 x 1080 OLED Display', '2.0/1.7 GHz Snapdragon 670 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', 'Titan M Security Chip', 'Android 9.0 Pie']
Samsung|Galaxy S10e SM-G970F Dual SIM 128GB Smartphone (Unlocked, White)|549.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM / 4G LTE Wireless Connectivity', 'Latin America Variant/US Compatible LTE', '16MP/12MP Rear Dual-Camera Array', 'Ultra-Wide / Wide Cameras', '10MP Wide-Angle 4K UHD Selfie Camera', 'Samsung Exynos 9820 Octa-Core CPU', '128GB Storage Capacity + 6GB of RAM', '5.8" Dynamic AMOLED Display', 'PowerShare Wireless Charging', 'Android 9.0 Pie + One UI']
Samsung|Galaxy S10 SM-G973F Dual SIM 128GB Smartphone (Unlocked, Black)|649.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM / 4G LTE Wireless Connectivity', 'Latin America Variant/US Compatible LTE', '16MP/12MP/12MP Rear Triple-Camera Array', 'Ultra-Wide / Wide / 2x Telephoto Cameras', '10MP Wide-Angle 4K UHD Selfie Camera', 'Samsung Exynos 9820 Octa-Core CPU', '128GB Storage Capacity + 8GB of RAM', '6.1" QHD Dynamic AMOLED Display', 'PowerShare + In-Screen Fingerprint', 'Android 9.0 Pie + One UI']
BLU|G9 Dual-SIM 64GB Smartphone (Unlocked, Blue)|159.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'North American Variant', 'Dual 13MP/2MP Rear Cameras', 'Front 13MP Selfie Camera', '52MP Super Zoom + Night Mode', '2.0 GHz MediaTek Helio P22 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '6.3" 1520 x 720 IPS LCD Display', 'Encrypted Rear Fingerprint Sensor', 'Android 9.0 Pie']
Samsung|Galaxy A10 A105M Duos Dual-SIM 32GB Smartphone (Unlocked, Red)|134.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Wireless Connectivity', 'Latin America Variant/US Compatible LTE', '6.2" Infinity-V Touchscreen Display', '1520 x 720 Resolution', '13MP Rear Camera + 5MP Front Camera', 'f/1.9 28mm Wide Auto Focus Lens', 'Exynos 7884 Octa-Core CPU', '32GB Storage Capacity + 2GB of RAM', 'Dual Nano SIMs', 'Android 9.0 Pie']
Samsung|Galaxy S9+ SM-G9650 Dual SIM 64GB Smartphone (Unlocked, Midnight Black)|559.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM / 4G LTE Compatible', 'International Variant/US Compatible LTE', 'Rear 12MP F1.5/2.4 + 12MP F2.4 Cameras', 'Front 8MP F1.7 Smart Autofocus Camera', '6.2" 2960 x 1440 Super AMOLED Display', '18.5:9 Aspect Ratio Infinity Display', '2.8 GHz Snapdragon 845 Octa-Core CPU', '64GB Storage Capacity + 6GB of RAM', '802.11 a/b/g/n/ac 2.4+5 GHz Wi-Fi', 'Android 8.0 Oreo']
Google|Pixel 3 XL 128GB Smartphone (Unlocked, Just Black)|699.00|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM+CDMA / 4G LTE Compatible', 'North American Variant', 'Rear 12.2MP Dual-Pixel Camera', 'Optical + Electronic Image Stabilization', 'Dual 8MP Front-Facing Cameras', 'Wide-Angle Lens for Group Selfies', '2.5/1.6 GHz Snapdragon 845 Octa-Core CPU', '128GB Storage Capacity + 4GB of RAM', '6.3" 2960 x 1440 QHD+ OLED Display', 'Android 9.0 Pie']
Samsung|Galaxy A30 SM-A305G Dual-SIM 64GB Smartphone (Unlocked, White)|224.10|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 16MP f/1.7 PDAF Camera', 'Rear 5MP f/2.2 Ultrawide Camera', 'Front 16MP f/2.0 Selfie Camera', '1.8/1.6 Exynos 7904 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '6.4" 2340 x 1080 Super AMOLED Display', '64GB microSD Card Included', 'Android 9.0 Pie with Samsung One UI']
